"Kinase"	"ActLoop_H2228_1"	"ActLoop_H2228_2"	"ActLoop_HCC827ER3_1"	"ActLoop_HCC827ER3_2"	"ActLoop_K562_1"	"ActLoop_K562_2"	"ActLoop_SKMel28_1"	"ActLoop_SKMel28_2"
"ABL1"	2	3	2	1	31	33	0	0
"ABL2"	2	3	2	1	29	30	0	0
"AXL"	0	0	4	5	0	1	1	2
"BTK"	0	0	0	0	1	2	0	0
"DDR1"	0	0	0	0	4	4	0	0
"DYRK1A"	12	10	5	5	18	15	11	12
"DYRK1B"	12	10	5	5	18	15	11	12
"DYRK2"	2	2	2	2	2	2	3	3
"DYRK3"	1	3	1	1	1	2	1	1
"DYRK4"	2	2	2	2	2	2	3	3
"EGFR"	0	0	9	11	0	0	0	0
"EPHA2"	6	7	11	11	0	0	1	2
"EPHA3"	1	0	2	2	0	0	1	1
"EPHA4"	1	0	2	2	0	0	1	1
"EPHA5"	1	0	2	2	0	0	1	1
"EPHB2"	0	0	2	3	0	0	0	0
"EPHB4"	1	1	5	5	1	2	0	0
"FER"	1	0	1	1	0	1	1	0
"FGFR1"	1	0	0	0	0	0	0	0
"FGFR4"	0	0	1	0	0	0	0	0
"FRK"	0	0	1	0	0	0	0	0
"FYN"	6	6	3	2	7	7	6	5
"GSK3A"	17	16	19	16	14	15	4	17
"GSK3B"	17	16	19	16	14	15	4	17
"HCK"	4	6	1	1	5	5	1	0
"HIPK1"	5	6	5	5	6	6	4	6
"HIPK2"	5	6	5	5	6	6	4	6
"HIPK3"	2	2	0	0	3	3	2	2
"ICK"	1	1	1	2	0	0	1	1
"IGF1R"	3	1	0	0	0	0	4	4
"INSR"	3	1	0	0	0	0	4	4
"JAK1"	0	0	5	5	0	0	0	0
"LCK"	6	6	2	2	5	5	5	5
"LIMK1"	0	0	1	1	0	0	0	0
"LYN"	4	6	1	1	5	5	1	0
"MAPK1"	10	10	4	5	37	31	43	42
"MAPK10"	1	0	3	5	1	1	1	1
"MAPK11"	0	0	0	0	0	0	1	0
"MAPK12"	0	0	4	4	0	0	2	2
"MAPK13"	2	2	1	1	0	0	0	0
"MAPK14"	23	17	4	4	26	21	9	8
"MAPK3"	12	10	3	5	17	17	20	16
"MAPK7"	1	1	2	2	0	1	1	1
"MAPK8"	1	0	3	5	1	1	1	1
"MAPK9"	2	2	2	3	0	1	5	1
"MAPKAPK3"	0	0	2	4	0	0	0	0
"MELK"	0	0	1	0	0	0	0	0
"MERTK"	0	0	5	4	0	0	0	0
"MET"	3	3	94	109	0	0	0	0
"MST1R"	0	0	7	9	0	0	0	0
"NRK"	0	0	0	1	0	0	0	0
"PRPF4B"	18	56	5	6	60	56	53	51
"PTK2"	37	29	18	29	3	4	22	16
"PTK2B"	0	0	1	0	0	0	0	0
"SRC"	6	6	3	2	7	7	6	5
"TBK1"	0	0	1	2	0	0	0	0
"TEC"	0	0	0	0	0	1	0	0
"TGFBR2"	1	0	2	2	0	0	0	0
"TNK2"	0	1	0	0	0	0	1	0
"TYK2"	0	0	0	1	0	0	0	0
"TYRO3"	0	0	5	4	0	0	0	0
"YES1"	6	6	3	2	7	7	6	5
