H2228_1	H2228_2	HCC827ER3_1	HCC827ER3_2	K562_1	K562_2	SKMel28_1	SKMel28_2
0	0	372.155.881.318.568	241.246.761.636.296	372.155.881.318.568	269.026.021.046.292	0	0
0	173.205.080.756.888	848.528.137.423.857	489.897.948.556.636	848.528.137.423.857	12.916.268.811.077	0	173.205.080.756.888
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
39.496.835.316.263	395.979.797.464.467	204.058.815.050.955	20.952.326.839.757	204.058.815.050.955	495.075.751.779.463	39.496.835.316.263	395.979.797.464.467
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	546.076.917.659.042	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	8	8	8	0	0	0
685.565.460.040.104	0	134.164.078.649.987	130.384.048.104.053	134.164.078.649.987	226.274.169.979.695	685.565.460.040.104	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
685.565.460.040.104	108.627.804.912.002	527.541.467.564.399	589.915.248.150.105	527.541.467.564.399	574.630.315.942.346	685.565.460.040.104	108.627.804.912.002
969.535.971.483.266	108.627.804.912.002	771.816.040.258.299	87.332.697.198.701	771.816.040.258.299	617.251.974.480.439	969.535.971.483.266	108.627.804.912.002
0	0	0	0	0	0	0	0
632.455.532.033.676	6	489.897.948.556.636	509.901.951.359.278	489.897.948.556.636	316.227.766.016.838	632.455.532.033.676	6
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
748.331.477.354.788	670.820.393.249.937	268.700.576.850.888	272.763.633.939.717	268.700.576.850.888	13.490.737.563.232	748.331.477.354.788	670.820.393.249.937
0	0	1	14.142.135.623.731	1	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	285.249.014.021.083	315.128.545.200.209	285.249.014.021.083	0	0	0
0	0	0	0	0	0	0	0
346.410.161.513.775	4	877.496.438.739.212	104.823.661.451.029	877.496.438.739.212	0	346.410.161.513.775	4
2	173.205.080.756.888	692.820.323.027.551	748.331.477.354.788	692.820.323.027.551	0	2	173.205.080.756.888
0	0	157.480.157.480.236	149.666.295.470.958	157.480.157.480.236	0	0	0
0	0	66.332.495.807.108	748.331.477.354.788	66.332.495.807.108	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	161.245.154.965.971	0	0	0	0
0	0	241.039.415.863.879	344.963.766.213.207	241.039.415.863.879	0	0	0
0	0	103.923.048.454.133	836.660.026.534.076	103.923.048.454.133	0	0	0
0	0	367.423.461.417.477	342.490.875.790.874	367.423.461.417.477	282.842.712.474.619	0	0
0	0	0	0	0	0	0	0
0	0	528.488.410.468.952	564.358.042.380.898	528.488.410.468.952	0	0	0
0	0	128.062.484.748.657	128.062.484.748.657	128.062.484.748.657	0	0	0
0	0	213.307.290.077.015	218.174.242.292.714	213.307.290.077.015	0	0	0
0	0	0	0	0	0	0	0
346.410.161.513.775	0	489.897.948.556.636	547.722.557.505.166	489.897.948.556.636	282.842.712.474.619	346.410.161.513.775	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	362.491.379.207.837	0	362.491.379.207.837	0	0	0
707.106.781.186.548	640.312.423.743.285	787.400.787.401.181	866.025.403.784.439	787.400.787.401.181	905.538.513.813.742	707.106.781.186.548	640.312.423.743.285
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	363.318.042.491.699	349.857.113.690.718	363.318.042.491.699	0	0	0
163.095.064.303.001	146.969.384.566.991	434.050.688.284.214	388.844.441.904.472	434.050.688.284.214	648.074.069.840.786	163.095.064.303.001	146.969.384.566.991
0	0	0	0	0	0	0	0
565.685.424.949.238	240.416.305.603.426	308.220.700.148.449	25.298.221.281.347	308.220.700.148.449	215.638.586.528.478	565.685.424.949.238	240.416.305.603.426
565.685.424.949.238	240.416.305.603.426	308.220.700.148.449	25.298.221.281.347	308.220.700.148.449	212.132.034.355.964	565.685.424.949.238	240.416.305.603.426
244.948.974.278.318	0	529.150.262.212.918	447.213.595.499.958	529.150.262.212.918	434.741.302.385.683	244.948.974.278.318	0
0	0	0	0	0	0	0	0
565.685.424.949.238	848.528.137.423.857	707.106.781.186.548	707.106.781.186.548	707.106.781.186.548	848.528.137.423.857	565.685.424.949.238	848.528.137.423.857
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
848.528.137.423.857	848.528.137.423.857	0	0	0	0	848.528.137.423.857	848.528.137.423.857
0	0	0	0	0	0	0	0
135.646.599.662.505	129.614.813.968.157	0	0	0	0	135.646.599.662.505	129.614.813.968.157
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	774.596.669.241.483	748.331.477.354.788	774.596.669.241.483	0	0	0
170.880.074.906.351	114.891.252.930.761	754.983.443.527.075	678.232.998.312.527	754.983.443.527.075	185.741.756.210.067	170.880.074.906.351	114.891.252.930.761
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
894.427.190.999.916	948.683.298.050.514	161.245.154.965.971	175.499.287.747.842	161.245.154.965.971	223.606.797.749.979	894.427.190.999.916	948.683.298.050.514
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	282.842.712.474.619	244.948.974.278.318	282.842.712.474.619	0	0	0
128.452.325.786.651	806.225.774.829.855	344.963.766.213.207	363.318.042.491.699	344.963.766.213.207	92.951.600.308.978	128.452.325.786.651	806.225.774.829.855
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
92.736.184.954.957	129.614.813.968.157	164.924.225.024.706	178.885.438.199.983	164.924.225.024.706	510.294.032.886.923	92.736.184.954.957	129.614.813.968.157
14.142.135.623.731	14.142.135.623.731	424.264.068.711.928	707.106.781.186.548	424.264.068.711.928	14.142.135.623.731	14.142.135.623.731	14.142.135.623.731
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
134.164.078.649.987	12	848.528.137.423.857	894.427.190.999.916	848.528.137.423.857	648.074.069.840.786	134.164.078.649.987	12
363.318.042.491.699	293.938.769.133.981	25.219.040.425.837	333.166.624.979.154	25.219.040.425.837	41.641.325.627.314	363.318.042.491.699	293.938.769.133.981
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	632.455.532.033.676	447.213.595.499.958	632.455.532.033.676	0	0	0
0	0	774.596.669.241.483	692.820.323.027.551	774.596.669.241.483	0	0	0
0	0	467.311.459.307.387	494.896.958.972.269	467.311.459.307.387	0	0	0
0	0	0	0	0	0	0	0
0	0	507.543.101.617.981	592.452.529.743.945	507.543.101.617.981	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	905.538.513.813.742	616.441.400.296.898	905.538.513.813.742	0	0	0
0	0	0	0	0	2	0	0
0	0	0	0	0	244.948.974.278.318	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	556.776.436.283.002	6	556.776.436.283.002	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
325.269.119.345.812	240.416.305.603.426	345.832.329.315.812	525.357.021.462.548	345.832.329.315.812	6	325.269.119.345.812	240.416.305.603.426
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
35.665.109.000.254	3.286.335.345.031	466.047.207.909.242	404.474.968.323.134	466.047.207.909.242	626.099.033.699.941	35.665.109.000.254	3.286.335.345.031
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
223.606.797.749.979	0	0	0	0	774.596.669.241.483	223.606.797.749.979	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	122.474.487.139.159	0	0
0	0	0	0	0	0	0	0
0	0	316.227.766.016.838	282.842.712.474.619	316.227.766.016.838	0	0	0
0	0	0	0	0	0	0	0
346.410.161.513.775	0	0	0	0	10.816.653.826.392	346.410.161.513.775	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	10.816.653.826.392	12.369.316.876.853	10.816.653.826.392	113.137.084.989.848	0	0
0	0	0	0	0	0	0	0
424.264.068.711.928	387.298.334.620.742	866.025.403.784.439	154.919.333.848.297	866.025.403.784.439	685.565.460.040.104	424.264.068.711.928	387.298.334.620.742
0	0	316.227.766.016.838	282.842.712.474.619	316.227.766.016.838	0	0	0
0	0	0	0	0	0	0	0
171.464.281.994.822	142.828.568.570.857	356.931.365.951.495	292.403.830.344.269	356.931.365.951.495	272.029.410.174.709	171.464.281.994.822	142.828.568.570.857
0	0	0	0	0	0	0	0
