Kinase	Kinome	ActLoop	PSP	NWK	Kin	Sub	Score	Rel.Score	Skew
ABL1	4	2	34	89	6	123	27.1661554144122	0.410479172047659	0.968969973714297
ABL2	3	2	7	11	5	18	9.48683298050514	0.143345544770249	0.827509877813842
ADRBK1	0	0	0	4	0	4	0	0	1
AKT1	0	0	1	10	0	11	0	0	1
AKT2	0	0	0	5	0	5	0	0	1
AKT3	0	0	0	5	0	5	0	0	1
ALK	61	0	39	0	61	39	48.7749935930288	0.736987574475653	0.362139794139992
ALPK3	0	0	0	0	0	0	0	0	0
ARAF	0	0	0	0	0	0	0	0	0
AURKA	0	0	0	0	0	0	0	0	0
AURKB	0	0	0	0	0	0	0	0	0
AURKC	0	0	0	0	0	0	0	0	0
AXL	6	0	0	730	6	730	66.1815684310972	1	0.994767626542279
BCR	0	0	0	0	0	0	0	0	0
BCR-ABL	0	0	1	0	0	1	0	0	1
BLK	0	0	0	0	0	0	0	0	0
BMP2K	0	0	0	0	0	0	0	0	0
BMPR2	0	0	0	0	0	0	0	0	0
BMX	0	0	49	0	0	49	0	0	1
BTK	0	0	0	8	0	8	0	0	1
BUB1	0	0	0	0	0	0	0	0	0
CAMK2A	0	0	0	1	0	1	0	0	1
CAMK2B	0	0	0	0	0	0	0	0	0
CDC42BPA	0	0	0	0	0	0	0	0	0
CDC42BPB	1	0	0	0	1	0	0	0	0
CDK1	48	0	1	0	48	1	6.92820323027551	0.104684784518043	0.0132609935998004
CDK16	2	0	0	0	2	0	0	0	0
CDK17	2	0	0	0	2	0	0	0	0
CDK2	47	0	1	7	47	8	19.3907194296653	0.29299274540242	0.107332145316026
CDK3	47	0	0	22	47	22	32.1558703816271	0.485873501397978	0.278706600068788
CDK4	0	0	0	0	0	0	0	0	0
CDK5	2	0	14	0	2	14	5.29150262212918	0.0799543248606787	0.909665529398267
CIT	0	0	0	0	0	0	0	0	0
CLK1	0	0	0	0	0	0	0	0	0
CLK2	0	0	0	0	0	0	0	0	0
CSF1R	0	0	0	16	0	16	0	0	1
CSK	1	0	0	132	1	132	11.4891252930761	0.173600075752777	0.995177215198451
CSNK1A1	0	0	0	0	0	0	0	0	0
CSNK1A1L	0	0	0	0	0	0	0	0	0
CSNK2A1	0	0	0	0	0	0	0	0	0
CSNK2A2	0	0	0	0	0	0	0	0	0
DCLK2	0	0	0	7	0	7	0	0	1
DDR1	0	0	0	0	0	0	0	0	0
DDR2	0	0	0	0	0	0	0	0	0
DYRK1A	12	12	0	0	24	0	0	0	0
DYRK1B	12	12	0	0	24	0	0	0	0
DYRK2	2	2	0	0	4	0	0	0	0
DYRK3	1	1	0	0	2	0	0	0	0
DYRK4	2	2	0	0	4	0	0	0	0
EEF2K	0	0	0	0	0	0	0	0	0
EGFR	5	0	35	185	5	220	33.166247903554	0.501140252336026	0.985533859193568
EPHA1	0	0	0	61	0	61	0	0	1
EPHA2	14	6	14	30	20	44	29.6647939483827	0.4482334681939	0.728400502439816
EPHA3	1	1	0	6	2	6	3.46410161513775	0.0523423922590214	0.795167235300867
EPHA4	1	1	0	3	2	3	2.44948974278318	0.0370116605098803	0.625665916378002
EPHA5	1	1	0	0	2	0	0	0	0
EPHA6	0	0	0	0	0	0	0	0	0
EPHA7	0	0	0	0	0	0	0	0	0
EPHA8	0	0	0	195	0	195	0	0	1
EPHB1	0	0	0	11	0	11	0	0	1
EPHB2	0	0	0	7	0	7	0	0	1
EPHB3	1	0	0	5	1	5	2.23606797749979	0.0337868689199743	0.874334083621998
EPHB4	1	1	0	3	2	3	2.44948974278318	0.0370116605098803	0.625665916378002
EPHB6	0	0	0	1	0	1	0	0	1
ERBB2	0	0	48	138	0	186	0	0	1
ERBB3	0	0	0	9	0	9	0	0	1
ERBB4	0	0	0	8	0	8	0	0	1
FAM20B	0	0	0	0	0	0	0	0	0
FER	1	1	11	0	2	11	4.69041575982343	0.0708719341504683	0.8855017059026
FES	0	0	0	257	0	257	0	0	1
FGFR1	1	1	3	54	2	57	10.6770782520313	0.161330087895203	0.977671624299765
FGFR2	0	0	0	1	0	1	0	0	1
FGFR3	0	0	1	0	0	1	0	0	1
FGFR4	0	0	0	115	0	115	0	0	1
FGR	1	0	38	39	1	77	8.77496438739212	0.132589247964528	0.991732675523459
FLT1	0	0	0	20	0	20	0	0	1
FLT3	0	0	0	0	0	0	0	0	0
FLT4	0	0	0	1	0	1	0	0	1
