Kinase	Kinome	ActLoop	PSP	NWK	Kin	Sub	Score	Rel.Score	Skew
ABL1	1	1	197	94	2	291	24.1246761636296	0.0487468668502799	0.995624675265702
ABL2	1	1	3	9	2	12	4.89897948556636	0.00989898886374216	0.894863086577493
ADRBK1	0	0	0	53	0	53	0	0	1
AKT1	0	0	3	41	0	44	0	0	1
AKT2	0	0	0	0	0	0	0	0	0
AKT3	0	0	0	0	0	0	0	0	0
ALK	0	0	27	0	0	27	0	0	1
ALPK3	2	0	0	0	2	0	0	0	0
ARAF	1	0	0	0	1	0	0	0	0
AURKA	0	0	0	2	0	2	0	0	1
AURKB	0	0	0	0	0	0	0	0	0
AURKC	0	0	0	0	0	0	0	0	0
AXL	15	5	0	2195	20	2195	209.52326839757	0.423367459829774	0.994199524778854
BCR	4	0	0	0	4	0	0	0	0
BCR-ABL	0	0	4	0	0	4	0	0	1
BLK	0	0	0	1	0	1	0	0	1
BMP2K	2	0	0	0	2	0	0	0	0
BMPR2	3	0	0	0	3	0	0	0	0
BMX	0	0	156	0	0	156	0	0	1
BTK	0	0	1	10	0	11	0	0	1
BUB1	1	0	0	0	1	0	0	0	0
CAMK2A	0	0	0	13	0	13	0	0	1
CAMK2B	0	0	0	1	0	1	0	0	1
CDC42BPA	4	0	0	0	4	0	0	0	0
CDC42BPB	8	0	0	8	8	8	8	0.0161649811237742	0.5
CDK1	34	0	4	1	34	5	13.0384048104053	0.0263456959555411	0.0929542902670288
CDK16	0	0	0	0	0	0	0	0	0
CDK17	0	0	0	0	0	0	0	0	0
CDK2	29	0	4	116	29	120	58.9915248150105	0.119199610637163	0.849044542134568
CDK3	29	0	0	263	29	263	87.332697198701	0.176466425213161	0.930084827069243
CDK4	2	0	0	0	2	0	0	0	0
CDK5	2	0	13	0	2	13	5.09901951359278	0.010303194273373	0.902820419304942
CIT	1	0	0	0	1	0	0	0	0
CLK1	0	0	0	1	0	1	0	0	1
CLK2	0	0	0	1	0	1	0	0	1
CSF1R	0	0	0	20	0	20	0	0	1
CSK	1	0	0	744	1	744	27.2763633939717	0.0551152374235949	0.999144328778222
CSNK1A1	2	0	0	1	2	1	1.4142135623731	0.00285759194259332	0.295167235300867
CSNK1A1L	2	0	0	0	2	0	0	0	0
CSNK2A1	0	0	0	4	0	4	0	0	1
CSNK2A2	0	0	0	0	0	0	0	0	0
DCLK2	0	0	0	9	0	9	0	0	1
DDR1	0	0	0	0	0	0	0	0	0
DDR2	0	0	0	0	0	0	0	0	0
DYRK1A	5	5	0	0	10	0	0	0	0
DYRK1B	5	5	0	0	10	0	0	0	0
DYRK2	2	2	0	0	4	0	0	0	0
DYRK3	1	1	0	0	2	0	0	0	0
DYRK4	2	2	0	0	4	0	0	0	0
EEF2K	1	0	0	0	1	0	0	0	0
EGFR	151	11	155	458	162	613	315.128545200209	0.636755873090476	0.83551826539546
EPHA1	0	0	0	1	0	1	0	0	1
EPHA2	56	11	55	109	67	164	104.823661451029	0.211809063585098	0.753090986384571
EPHA3	2	2	0	14	4	14	7.48331477354788	0.0151209552572078	0.822828934434191
EPHA4	2	2	0	56	4	56	14.9666295470958	0.0302419105144156	0.954604258000279
EPHA5	2	2	0	14	4	14	7.48331477354788	0.0151209552572078	0.822828934434191
EPHA6	0	0	0	10	0	10	0	0	1
EPHA7	0	0	0	14	0	14	0	0	1
EPHA8	0	0	0	1281	0	1281	0	0	1
EPHB1	4	0	0	65	4	65	16.1245154965971	0.0325815610790621	0.96087274025642
EPHB2	11	3	0	85	14	85	34.4963766213207	0.0697041596152819	0.896078008332297
EPHB3	2	0	2	33	2	35	8.36660026534076	0.0169057419199247	0.96366124529796
EPHB4	12	5	0	69	17	69	34.2490875790874	0.0692044817778048	0.84621449453716
EPHB6	0	0	0	2	0	2	0	0	1
ERBB2	7	0	34	421	7	455	56.4358042380898	0.114035463776717	0.990206622260199
ERBB3	4	0	0	41	4	41	12.8062484748657	0.0258765956078208	0.938086691067069
ERBB4	7	0	0	68	7	68	21.8174242292714	0.0440847813544434	0.934695637703965
FAM20B	2	0	0	0	2	0	0	0	0
FER	1	1	7	8	2	15	5.47722557505166	0.0110674060039204	0.915615073682317
FES	0	0	0	1417	0	1417	0	0	1
FGFR1	0	0	4	354	0	358	0	0	1
FGFR2	0	0	0	4	0	4	0	0	1
FGFR3	0	0	4	0	0	4	0	0	1
FGFR4	0	0	0	673	0	673	0	0	1
FGR	1	0	36	39	1	75	8.66025403784439	0.0174991053811055	0.991512239323
FLT1	0	0	0	33	0	33	0	0	1
FLT3	0	0	0	0	0	0	0	0	0
FLT4	0	0	0	11	0	11	0	0	1
FRK	24	0	0	51	24	51	34.9857113690718	0.0706929204853574	0.719987515050277
FYN	6	2	71	118	8	189	38.8844441904472	0.0785707882933788	0.973069207287627
GAK	4	0	0	0	4	0	0	0	0
GSK3A	16	16	16	4	32	20	25.298221281347	0.0511181586847548	0.355615368978706
GSK3B	16	16	20	0	32	20	25.298221281347	0.0511181586847548	0.355615368978706
HCK	1	1	8	2	2	10	4.47213595499958	0.00903649916194003	0.874334083621998
HIPK1	5	5	0	0	10	0	0	0	0
HIPK2	5	5	5	0	10	5	7.07106781186548	0.0142879597129666	0.295167235300867
HIPK3	0	0	0	0	0	0	0	0	0
ICK	3	2	0	0	5	0	0	0	0
IGF1R	0	0	7	2	0	9	0	0	1
IKBKB	0	0	0	10	0	10	0	0	1
INSR	0	0	45	93	0	138	0	0	1
INSRR	0	0	0	5	0	5	0	0	1
ITK	0	0	5	69	0	74	0	0	1
JAK1	9	5	4	0	14	4	7.48331477354788	0.0151209552572078	0.177171065565809
JAK2	2	0	23	0	2	23	6.78232998312527	0.0137045295190535	0.944780658576552
JAK3	0	0	11	0	0	11	0	0	1
KDR	0	0	3	45	0	48	0	0	1
KIT	0	0	3	98	0	101	0	0	1
LATS1	1	0	0	0	1	0	0	0	0
LATS2	3	0	0	0	3	0	0	0	0
LCK	2	2	33	44	4	77	17.5499287747842	0.0354617834209962	0.966958543527999
LIMK1	1	1	0	0	2	0	0	0	0
LIMK2	0	0	0	0	0	0	0	0	0
LMTK2	2	0	3	0	2	3	2.44948974278318	0.00494949443187108	0.625665916378002
LYN	10	1	56	64	11	120	36.3318042491699	0.0734128662350614	0.941805821479861
MAP2K1	0	0	26	48	0	74	0	0	1
MAP2K2	0	0	5	6	0	11	0	0	1
MAP2K3	0	0	4	20	0	24	0	0	1
MAP2K4	0	0	12	33	0	45	0	0	1
MAP2K5	0	0	2	18	0	20	0	0	1
