Kinase	Kinome	ActLoop	PSP	NWK	Kin	Sub	Score	Rel.Score	Skew
ABL1	160	33	164	211	193	375	269.026021046292	1	0.697406995984599
ABL2	53	30	32	169	83	201	129.16268811077	0.480112249396665	0.750694894727042
ADRBK1	0	0	0	0	0	0	0	0	0
AKT1	0	0	4	0	0	4	0	0	1
AKT2	0	0	0	0	0	0	0	0	0
AKT3	0	0	0	0	0	0	0	0	0
ALK	0	0	31	0	0	31	0	0	1
ALPK3	0	0	0	0	0	0	0	0	0
ARAF	0	0	0	0	0	0	0	0	0
AURKA	1	0	1	0	1	1	1	0.00371711255331664	0.5
AURKB	1	0	0	0	1	0	0	0	0
AURKC	1	0	0	0	1	0	0	0	0
AXL	2	1	0	817	3	817	49.5075751779463	0.184025229178211	0.997662361403435
BCR	161	0	0	0	161	0	0	0	0
BCR-ABL	0	0	92	0	0	92	0	0	1
BLK	0	0	15	15	0	30	0	0	1
BMP2K	1	0	0	0	1	0	0	0	0
BMPR2	0	0	0	0	0	0	0	0	0
BMX	0	0	13	0	0	13	0	0	1
BTK	19	2	12	130	21	142	54.6076917659042	0.202982936570688	0.906529496773035
BUB1	2	0	0	0	2	0	0	0	0
CAMK2A	0	0	0	0	0	0	0	0	0
CAMK2B	0	0	0	0	0	0	0	0	0
CDC42BPA	0	0	0	0	0	0	0	0	0
CDC42BPB	0	0	0	0	0	0	0	0	0
CDK1	128	0	4	0	128	4	22.6274169979695	0.0841086557722829	0.0198878956471785
CDK16	5	0	0	0	5	0	0	0	0
CDK17	5	0	0	0	5	0	0	0	0
CDK2	127	0	4	22	127	26	57.4630315942346	0.21359655609056	0.128555244976689
CDK3	127	0	0	30	127	30	61.7251974480439	0.229439506290072	0.14767557123651
CDK4	0	0	0	0	0	0	0	0	0
CDK5	2	0	5	0	2	5	3.16227766016838	0.0117545419876847	0.757762116818313
CIT	0	0	0	0	0	0	0	0	0
CLK1	0	0	0	0	0	0	0	0	0
CLK2	0	0	0	0	0	0	0	0	0
CSF1R	0	0	0	4	0	4	0	0	1
CSK	1	0	0	182	1	182	13.490737563232	0.0501465899497902	0.996502124362343
CSNK1A1	0	0	0	0	0	0	0	0	0
CSNK1A1L	0	0	0	0	0	0	0	0	0
CSNK2A1	0	0	0	0	0	0	0	0	0
CSNK2A2	5	0	0	0	5	0	0	0	0
DCLK2	0	0	0	0	0	0	0	0	0
DDR1	5	4	0	0	9	0	0	0	0
