Kinase	Kinome	ActLoop	PSP	NWK	Kin	Sub	Score	Rel.Score	Skew
ABL1	0	0	17	71	0	88	0	0	1
ABL2	0	0	0	3	0	3	0	0	1
ADRBK1	0	0	0	1	0	1	0	0	1
AKT1	0	0	0	1	0	1	0	0	1
AKT2	0	0	0	0	0	0	0	0	0
AKT3	0	0	0	0	0	0	0	0	0
ALK	0	0	10	0	0	10	0	0	1
ALPK3	0	0	0	0	0	0	0	0	0
ARAF	0	0	0	0	0	0	0	0	0
AURKA	0	0	0	0	0	0	0	0	0
AURKB	0	0	0	0	0	0	0	0	0
AURKC	0	0	0	0	0	0	0	0	0
AXL	5	1	0	260	6	260	39.496835316263	1	0.9853113815607
BCR	0	0	0	0	0	0	0	0	0
BCR-ABL	0	0	0	0	0	0	0	0	0
BLK	0	0	0	0	0	0	0	0	0
BMP2K	0	0	0	0	0	0	0	0	0
BMPR2	0	0	0	0	0	0	0	0	0
BMX	0	0	27	0	0	27	0	0	1
BTK	0	0	0	0	0	0	0	0	0
BUB1	0	0	0	0	0	0	0	0	0
CAMK2A	0	0	0	0	0	0	0	0	0
CAMK2B	0	0	0	0	0	0	0	0	0
CDC42BPA	0	0	0	0	0	0	0	0	0
CDC42BPB	0	0	0	0	0	0	0	0	0
CDK1	47	0	1	0	47	1	6.85565460040104	0.17357478252386	0.0135430581681255
CDK16	4	0	0	0	4	0	0	0	0
CDK17	4	0	0	0	4	0	0	0	0
CDK2	47	0	0	1	47	1	6.85565460040104	0.17357478252386	0.0135430581681255
CDK3	47	0	0	2	47	2	9.69535971483266	0.245471811531203	0.0270738694090015
CDK4	0	0	0	0	0	0	0	0	0
CDK5	4	0	10	0	4	10	6.32455532033676	0.160128153805087	0.757762116818313
CIT	0	0	0	0	0	0	0	0	0
CLK1	0	0	0	0	0	0	0	0	0
CLK2	0	0	0	0	0	0	0	0	0
CSF1R	0	0	0	1	0	1	0	0	1
CSK	1	0	0	56	1	56	7.48331477354788	0.189466186686268	0.988632997903691
CSNK1A1	0	0	0	0	0	0	0	0	0
CSNK1A1L	0	0	0	0	0	0	0	0	0
CSNK2A1	0	0	0	0	0	0	0	0	0
CSNK2A2	0	0	0	0	0	0	0	0	0
DCLK2	0	0	0	0	0	0	0	0	0
DDR1	0	0	0	0	0	0	0	0	0
DDR2	0	0	0	0	0	0	0	0	0
DYRK1A	11	11	0	0	22	0	0	0	0
DYRK1B	11	11	0	0	22	0	0	0	0
DYRK2	3	3	0	0	6	0	0	0	0
DYRK3	1	1	0	0	2	0	0	0	0
DYRK4	3	3	0	0	6	0	0	0	0
EEF2K	0	0	0	0	0	0	0	0	0
EGFR	0	0	2	46	0	48	0	0	1
EPHA1	0	0	0	1	0	1	0	0	1
EPHA2	2	1	2	2	3	4	3.46410161513775	0.0877058019307029	0.590334470601733
EPHA3	1	1	0	2	2	2	2	0.0506369683541833	0.5
EPHA4	1	1	0	0	2	0	0	0	0
EPHA5	1	1	0	0	2	0	0	0	0
EPHA6	0	0	0	0	0	0	0	0	0
EPHA7	0	0	0	0	0	0	0	0	0
EPHA8	0	0	0	85	0	85	0	0	1
EPHB1	0	0	0	3	0	3	0	0	1
EPHB2	0	0	0	5	0	5	0	0	1
EPHB3	0	0	0	0	0	0	0	0	0
EPHB4	0	0	0	0	0	0	0	0	0
EPHB6	0	0	0	0	0	0	0	0	0
ERBB2	0	0	47	43	0	90	0	0	1
ERBB3	0	0	0	4	0	4	0	0	1
ERBB4	0	0	0	1	0	1	0	0	1
FAM20B	0	0	0	0	0	0	0	0	0
FER	1	1	6	0	2	6	3.46410161513775	0.0877058019307029	0.795167235300867
FES	0	0	0	89	0	89	0	0	1
FGFR1	0	0	2	15	0	17	0	0	1
FGFR2	0	0	0	1	0	1	0	0	1
FGFR3	0	0	1	0	0	1	0	0	1
FGFR4	0	0	0	39	0	39	0	0	1
FGR	1	0	22	28	1	50	7.07106781186548	0.179028718509858	0.987269301798054
FLT1	0	0	0	3	0	3	0	0	1
FLT3	0	0	0	0	0	0	0	0	0
FLT4	0	0	0	0	0	0	0	0	0
FRK	0	0	0	1	0	1	0	0	1
FYN	8	6	7	12	14	19	16.3095064303001	0.412931980491728	0.59572942426849
GAK	0	0	0	0	0	0	0	0	0
GSK3A	4	4	4	0	8	4	5.65685424949238	0.143222974807887	0.295167235300867
GSK3B	4	4	4	0	8	4	5.65685424949238	0.143222974807887	0.295167235300867
HCK	1	1	1	2	2	3	2.44948974278318	0.0620173672946042	0.625665916378002
HIPK1	4	4	0	0	8	0	0	0	0
HIPK2	4	4	4	0	8	4	5.65685424949238	0.143222974807887	0.295167235300867
HIPK3	2	2	0	0	4	0	0	0	0
ICK	1	1	0	0	2	0	0	0	0
IGF1R	4	4	5	4	8	9	8.48528137423857	0.21483446221183	0.537405118482553
IKBKB	0	0	0	0	0	0	0	0	0
INSR	4	4	5	18	8	23	13.5646599662505	0.343436628723143	0.786899910824325
INSRR	0	0	0	2	0	2	0	0	1
ITK	0	0	1	11	0	12	0	0	1
JAK1	0	0	1	0	0	1	0	0	1
JAK2	4	0	73	0	4	73	17.0880074906351	0.432642447269668	0.965151573685194
JAK3	0	0	1	0	0	1	0	0	1
KDR	0	0	0	22	0	22	0	0	1
KIT	0	0	0	12	0	12	0	0	1
LATS1	0	0	0	0	0	0	0	0	0
LATS2	0	0	0	0	0	0	0	0	0
LCK	5	5	5	3	10	8	8.94427190999916	0.226455406828919	0.429553425045445
LIMK1	0	0	1	0	0	1	0	0	1
LIMK2	0	0	1	0	0	1	0	0	1
LMTK2	0	0	0	0	0	0	0	0	0
LYN	2	1	5	50	3	55	12.8452325786651	0.325221817793995	0.965309661532048
MAP2K1	0	0	67	73	0	140	0	0	1
MAP2K2	0	0	20	20	0	40	0	0	1
MAP2K3	0	0	9	14	0	23	0	0	1
MAP2K4	0	0	15	7	0	22	0	0	1
MAP2K5	0	0	1	6	0	7	0	0	1
MAP2K6	0	0	11	12	0	23	0	0	1
MAP2K7	0	0	1	5	0	6	0	0	1
MAP3K4	0	0	0	0	0	0	0	0	0
MAP3K5	0	0	10	0	0	10	0	0	1
MAP3K6	0	0	10	0	0	10	0	0	1
MAP4K3	0	0	0	0	0	0	0	0	0
MAP4K4	0	0	0	0	0	0	0	0	0
MAP4K5	0	0	0	0	0	0	0	0	0
MAPK1	43	43	0	1	86	1	9.2736184954957	0.234793963142593	0.0074022218909238
MAPK10	1	1	0	1	2	1	1.4142135623731	0.0358057437019716	0.295167235300867
MAPK11	1	1	0	0	2	0	0	0	0
MAPK12	2	2	0	0	4	0	0	0	0
MAPK13	0	0	0	0	0	0	0	0	0
MAPK14	9	9	10	0	18	10	13.4164078649987	0.339683110243379	0.322828934434191
MAPK3	20	20	21	12	40	33	36.3318042491699	0.9198662110078	0.439140347457457
MAPK7	1	1	0	0	2	0	0	0	0
MAPK8	1	1	0	0	2	0	0	0	0
MAPK9	5	5	0	0	10	0	0	0	0
MAPKAPK3	0	0	0	0	0	0	0	0	0
MARK2	0	0	0	0	0	0	0	0	0
MARK3	0	0	0	0	0	0	0	0	0
MAST1	0	0	0	0	0	0	0	0	0
MAST2	0	0	0	0	0	0	0	0	0
MAST3	0	0	0	1	0	1	0	0	1
MELK	0	0	0	0	0	0	0	0	0
MERTK	0	0	0	0	0	0	0	0	0
MET	0	0	25	10	0	35	0	0	1
MINK1	0	0	0	0	0	0	0	0	0
MST1R	0	0	0	3	0	3	0	0	1
MUSK	0	0	0	5	0	5	0	0	1
MYLK	0	0	0	0	0	0	0	0	0
MYLK3	0	0	0	0	0	0	0	0	0
NEK1	0	0	0	0	0	0	0	0	0
NEK2	0	0	0	0	0	0	0	0	0
NEK7	0	0	0	0	0	0	0	0	0
NPM-ALK	0	0	1	0	0	1	0	0	1
NRK	0	0	0	0	0	0	0	0	0
NTRK1	0	0	0	0	0	0	0	0	0
NTRK2	0	0	0	1	0	1	0	0	1
PAK1	0	0	0	0	0	0	0	0	0
PAK2	0	0	0	0	0	0	0	0	0
PAK4	0	0	0	0	0	0	0	0	0
PAK6	0	0	0	0	0	0	0	0	0
PBK	0	0	0	0	0	0	0	0	0
PDGFRA	0	0	5	6	0	11	0	0	1
PDGFRB	0	0	5	1	0	6	0	0	1
PDK1	0	0	0	0	0	0	0	0	0
PDK2	0	0	0	0	0	0	0	0	0
PDK3	0	0	0	0	0	0	0	0	0
PDK4	0	0	0	0	0	0	0	0	0
PDPK1	0	0	0	0	0	0	0	0	0
PEAK1	7	0	0	0	7	0	0	0	0
PKM	0	0	5	0	0	5	0	0	1
PKMYT1	0	0	47	0	0	47	0	0	1
PKN1	0	0	0	0	0	0	0	0	0
PKN2	0	0	0	0	0	0	0	0	0
PRKAA1	0	0	0	0	0	0	0	0	0
PRKACA	0	0	5	0	0	5	0	0	1
PRKACB	0	0	0	0	0	0	0	0	0
PRKCA	0	0	0	0	0	0	0	0	0
PRKCB	0	0	0	0	0	0	0	0	0
PRKCD	0	0	0	0	0	0	0	0	0
PRKCE	0	0	0	1	0	1	0	0	1
PRKCG	0	0	0	0	0	0	0	0	0
PRKCI	0	0	0	1	0	1	0	0	1
PRKD1	0	0	1	0	0	1	0	0	1
PRKD2	0	0	0	0	0	0	0	0	0
PRKD3	0	0	0	0	0	0	0	0	0
PRKDC	0	0	0	0	0	0	0	0	0
PRPF4B	53	53	0	0	106	0	0	0	0
PTK2	24	22	23	0	46	23	32.5269119345812	0.823532105145348	0.295167235300867
PTK2B	0	0	0	0	0	0	0	0	0
PTK6	0	0	0	1	0	1	0	0	1
RAF1	0	0	0	0	0	0	0	0	0
RET	0	0	108	0	0	108	0	0	1
RIPK1	0	0	0	0	0	0	0	0	0
RIPK2	2	0	0	0	2	0	0	0	0
ROCK1	0	0	0	4	0	4	0	0	1
ROCK2	0	0	0	0	0	0	0	0	0
ROR1	0	0	0	0	0	0	0	0	0
RPS6KA1	0	0	0	0	0	0	0	0	0
RPS6KA3	0	0	0	0	0	0	0	0	0
SLK	0	0	0	0	0	0	0	0	0
SRC	6	6	105	1	12	106	35.665109000254	0.902986497897181	0.928235373569793
SRMS	0	0	0	10	0	10	0	0	1
STK11	0	0	0	1	0	1	0	0	1
SYK	5	0	1	0	5	1	2.23606797749979	0.0566138517072298	0.125665916378002
TAOK1	1	0	0	0	1	0	0	0	0
TAOK3	0	0	0	0	0	0	0	0	0
TBK1	0	0	0	0	0	0	0	0	0
TEC	0	0	0	6	0	6	0	0	1
TESK1	0	0	1	0	0	1	0	0	1
TGFBR2	0	0	0	0	0	0	0	0	0
TNIK	0	0	0	0	0	0	0	0	0
TNK2	11	1	1	0	12	1	3.46410161513775	0.0877058019307029	0.0529293521191798
TRIM28	0	0	0	0	0	0	0	0	0
TRPM7	0	0	0	0	0	0	0	0	0
TTK	0	0	0	47	0	47	0	0	1
TXK	0	0	0	0	0	0	0	0	0
TYK2	3	0	0	6	3	6	4.24264068711928	0.107417231105915	0.704832764699133
TYRO3	0	0	0	0	0	0	0	0	0
WEE1	0	0	94	0	0	94	0	0	1
YES1	8	6	2	19	14	21	17.1464281994822	0.43412157106223	0.625665916378002
ZAP70	0	0	0	0	0	0	0	0	0
